                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                0.90787,                 2.8286,                0.22398,                0.71357,                 1.1295,                0.65963,                0.55485,                0.60826,                0.34758,                0.49315,                0.41781,                0.27922,                0.07435,                  1.815,                 6.2766,                0.54134,                 1.5711,                 1.7563,             0.00033268,             0.00033268,             0.00033268
                     23,                0.86608,                 2.3437,                0.34096,                0.75644,                 1.0471,                0.71502,                0.57143,                0.64088,                0.32859,                0.28453,                0.21429,                0.15103,                0.07001,                 1.8019,                 6.2612,                0.54483,                 1.5792,                 1.7497,             0.00034417,             0.00034417,             0.00034417
                     24,                0.68689,                 1.3989,                0.23776,                 0.6758,                 1.0752,                0.71502,                0.57143,                0.64088,                0.32859,                0.28453,                0.21429,                0.15103,                0.07001,                 1.8019,                 6.2612,                0.54483,                 1.5792,                 1.7497,             0.00035526,             0.00035526,             0.00035526
                     25,                  1.156,                 3.0032,                0.31547,                0.96495,                  1.161,                0.51226,                0.57143,                0.51812,                0.29346,                0.62678,                0.28571,                 0.2823,                 0.0978,                 1.8376,                 6.3234,                0.54975,                  1.717,                 1.8004,             0.00036595,             0.00036595,             0.00036595
                     26,                0.89855,                 2.1076,                0.36168,                0.61664,                 1.1006,                0.51226,                0.57143,                0.51812,                0.29346,                0.62678,                0.28571,                 0.2823,                 0.0978,                 1.8376,                 6.3234,                0.54975,                  1.717,                 1.8004,             0.00037625,             0.00037625,             0.00037625
                     27,                0.93639,                 1.7693,                0.23132,                0.64276,                 1.0782,                0.73476,                0.42857,                0.50143,                0.25256,                 0.7118,                0.35341,                0.33736,                0.09781,                 1.8629,                 6.3615,                0.55453,                  1.937,                 1.8497,             0.00038615,             0.00038615,             0.00038615
                     28,                0.75968,                 1.9026,                0.26064,                0.56195,                0.96369,                0.73476,                0.42857,                0.50143,                0.25256,                 0.7118,                0.35341,                0.33736,                0.09781,                 1.8629,                 6.3615,                0.55453,                  1.937,                 1.8497,             0.00039566,             0.00039566,             0.00039566
                     29,                0.78758,                 2.9966,                0.43982,                0.56114,                0.95267,                0.79133,                0.35714,                 0.4904,                0.23881,                0.39468,                0.28571,                0.19808,                0.08232,                 1.8705,                  6.495,                0.55135,                 2.0173,                 1.8886,             0.00040477,             0.00040477,             0.00040477
                     30,                 1.1038,                 2.3572,                0.29105,                0.90514,                 1.3641,                0.79133,                0.35714,                 0.4904,                0.23881,                0.39468,                0.28571,                0.19808,                0.08232,                 1.8705,                  6.495,                0.55135,                 2.0173,                 1.8886,             0.00041348,             0.00041348,             0.00041348
                     31,                0.92431,                 2.4672,                0.32012,                0.72227,                 1.0678,                0.78546,                0.35714,                0.46384,                0.19894,                0.58756,                0.35714,                0.32535,                0.10177,                  1.922,                 6.4883,                0.54471,                 2.0305,                 1.8603,              0.0004218,              0.0004218,              0.0004218
                     32,                0.79664,                 2.3249,                0.33676,                0.76982,                0.96574,                0.78546,                0.35714,                0.46384,                0.19894,                0.58756,                0.35714,                0.32535,                0.10177,                  1.922,                 6.4883,                0.54471,                 2.0305,                 1.8603,             0.00042972,             0.00042972,             0.00042972
                     33,                0.79682,                 2.1394,                0.25518,                0.83162,                 1.0121,                0.53734,                0.35714,                0.39247,                0.20109,                0.76247,                0.28571,                0.27176,                0.07343,                 1.8621,                   6.71,                0.55244,                 2.2293,                 1.7757,             0.00043725,             0.00043725,             0.00043725
                     34,                 0.9305,                 2.9893,                0.42212,                0.67072,                0.95407,                0.53734,                0.35714,                0.39247,                0.20109,                0.76247,                0.28571,                0.27176,                0.07343,                 1.8621,                   6.71,                0.55244,                 2.2293,                 1.7757,             0.00044438,             0.00044438,             0.00044438
                     35,                0.72668,                 3.6527,                0.27131,                0.72124,                 1.0885,                0.32939,                0.35714,                0.28838,                0.15722,                 0.4745,                0.28571,                0.17956,                0.06913,                 2.1544,                    6.9,                0.57424,                 2.1694,                 2.0585,             0.00045111,             0.00045111,             0.00045111
