eye_status,hand_status,timestamp
blinking,both hands are in the zone,2024-08-27 17:30:15.368153
blinking,both hands are in the zone,2024-08-27 17:30:15.447682
looking downward,both hands are in the zone,2024-08-27 17:30:15.518754
blinking,both hands are in the zone,2024-08-27 17:30:15.586474
blinking,both hands are in the zone,2024-08-27 17:30:15.669828
blinking,both hands are in the zone,2024-08-27 17:30:15.754270
blinking,both hands are in the zone,2024-08-27 17:30:15.835396
looking downward,both hands are in the zone,2024-08-27 17:30:15.908443
blinking,both hands are in the zone,2024-08-27 17:30:15.980001
blinking,both hands are in the zone,2024-08-27 17:30:16.067791
blinking,both hands are in the zone,2024-08-27 17:30:16.143097
looking downward,both hands are in the zone,2024-08-27 17:30:16.212469
blinking,both hands are in the zone,2024-08-27 17:30:16.284377
blinking,both hands are in the zone,2024-08-27 17:30:16.368064
blinking,both hands are in the zone,2024-08-27 17:30:16.451293
blinking,both hands are in the zone,2024-08-27 17:30:16.535173
blinking,both hands are in the zone,2024-08-27 17:30:16.610738
blinking,both hands are in the zone,2024-08-27 17:30:16.688528
blinking,both hands are in the zone,2024-08-27 17:30:16.764973
blinking,both hands are in the zone,2024-08-27 17:30:16.846282
blinking,both hands are in the zone,2024-08-27 17:30:16.924967
blinking,both hands are in the zone,2024-08-27 17:30:17.003674
blinking,both hands are in the zone,2024-08-27 17:30:17.085086
blinking,both hands are in the zone,2024-08-27 17:30:17.168978
blinking,both hands are in the zone,2024-08-27 17:30:17.248969
blinking,both hands are in the zone,2024-08-27 17:30:17.332825
blinking,both hands are in the zone,2024-08-27 17:30:17.410684
blinking,both hands are in the zone,2024-08-27 17:30:17.490366
blinking,both hands are in the zone,2024-08-27 17:30:17.570885
blinking,both hands are in the zone,2024-08-27 17:30:17.650024
blinking,both hands are in the zone,2024-08-27 17:30:17.734523
blinking,both hands are in the zone,2024-08-27 17:30:17.820372
blinking,both hands are in the zone,2024-08-27 17:30:17.901828
blinking,both hands are in the zone,2024-08-27 17:30:17.982386
"[WARNING] doze counter 51, dozing for 0.00s",both hands are in the zone,2024-08-27 17:30:18.068983
"[WARNING] doze counter 52, dozing for 0.07s",both hands are in the zone,2024-08-27 17:30:18.143960
"[WARNING] doze counter 53, dozing for 0.15s",both hands are in the zone,2024-08-27 17:30:18.222690
"[WARNING] doze counter 54, dozing for 0.24s",both hands are in the zone,2024-08-27 17:30:18.307048
"[WARNING] doze counter 55, dozing for 0.32s",both hands are in the zone,2024-08-27 17:30:18.387153
"[WARNING] doze counter 56, dozing for 0.40s",both hands are in the zone,2024-08-27 17:30:18.469529
"[WARNING] doze counter 57, dozing for 0.49s",both hands are in the zone,2024-08-27 17:30:18.555864
"[WARNING] doze counter 58, dozing for 0.56s",both hands are in the zone,2024-08-27 17:30:18.630384
"[WARNING] doze counter 59, dozing for 0.64s",both hands are in the zone,2024-08-27 17:30:18.713559
"[WARNING] doze counter 60, dozing for 0.73s",both hands are in the zone,2024-08-27 17:30:18.794332
"[WARNING] doze counter 61, dozing for 0.80s",both hands are in the zone,2024-08-27 17:30:18.871422
"[WARNING] doze counter 62, dozing for 0.88s",both hands are in the zone,2024-08-27 17:30:18.948112
"[WARNING] doze counter 62, dozing for 0.95s",both hands are in the zone,2024-08-27 17:30:19.015006
"[WARNING] doze counter 62, dozing for 1.02s",both hands are in the zone,2024-08-27 17:30:19.086320
"[WARNING] doze counter 63, dozing for 1.10s",both hands are in the zone,2024-08-27 17:30:19.167644
"[WARNING] doze counter 63, dozing for 1.18s",both hands are in the zone,2024-08-27 17:30:19.247286
"[WARNING] doze counter 62, dozing for 1.26s",both hands are in the zone,2024-08-27 17:30:19.328204
"[WARNING] doze counter 61, dozing for 1.34s",both hands are in the zone,2024-08-27 17:30:19.407146
"[WARNING] doze counter 60, dozing for 1.42s",both hands are in the zone,2024-08-27 17:30:19.489893
"[WARNING] doze counter 60, dozing for 1.49s",both hands are in the zone,2024-08-27 17:30:19.557020
"[WARNING] doze counter 61, dozing for 1.57s",both hands are in the zone,2024-08-27 17:30:19.640699
"[WARNING] doze counter 62, dozing for 1.65s",both hands are in the zone,2024-08-27 17:30:19.722135
"[WARNING] doze counter 63, dozing for 1.73s",both hands are in the zone,2024-08-27 17:30:19.799352
"[WARNING] doze counter 64, dozing for 1.81s",both hands are in the zone,2024-08-27 17:30:19.876851
"[WARNING] doze counter 65, dozing for 1.89s",both hands are in the zone,2024-08-27 17:30:19.958963
"[WARNING] doze counter 66, dozing for 1.97s",both hands are in the zone,2024-08-27 17:30:20.038029
"[WARNING] doze counter 67, dozing for 2.05s",both hands are in the zone,2024-08-27 17:30:20.123953
"[WARNING] doze counter 68, dozing for 2.13s",both hands are in the zone,2024-08-27 17:30:20.203955
"[WARNING] doze counter 69, dozing for 2.21s",both hands are in the zone,2024-08-27 17:30:20.283774
"[WARNING] doze counter 70, dozing for 2.30s",both hands are in the zone,2024-08-27 17:30:20.365182
"[WARNING] doze counter 71, dozing for 2.38s",both hands are in the zone,2024-08-27 17:30:20.451195
"[WARNING] doze counter 72, dozing for 2.47s",both hands are in the zone,2024-08-27 17:30:20.540494
"[WARNING] doze counter 73, dozing for 2.55s",both hands are in the zone,2024-08-27 17:30:20.621913
"[WARNING] doze counter 74, dozing for 2.63s",both hands are in the zone,2024-08-27 17:30:20.703823
"[WARNING] doze counter 75, dozing for 2.71s",both hands are in the zone,2024-08-27 17:30:20.780828
"[WARNING] doze counter 76, dozing for 2.79s",both hands are in the zone,2024-08-27 17:30:20.861853
"[WARNING] doze counter 77, dozing for 2.88s",both hands are in the zone,2024-08-27 17:30:20.946489
"[WARNING] doze counter 78, dozing for 2.95s",both hands are in the zone,2024-08-27 17:30:21.023901
"[WARNING] doze counter 79, dozing for 3.03s",both hands are in the zone,2024-08-27 17:30:21.104476
"[WARNING] doze counter 80, dozing for 3.11s",both hands are in the zone,2024-08-27 17:30:21.182138
"[WARNING] doze counter 81, dozing for 3.19s",both hands are in the zone,2024-08-27 17:30:21.261023
"[WARNING] doze counter 82, dozing for 3.27s",both hands are in the zone,2024-08-27 17:30:21.342420
"[WARNING] doze counter 83, dozing for 3.43s",both hands are in the zone,2024-08-27 17:30:21.496992
"[WARNING] doze counter 84, dozing for 3.50s",both hands are in the zone,2024-08-27 17:30:21.574747
"[WARNING] doze counter 85, dozing for 3.58s",both hands are in the zone,2024-08-27 17:30:21.654049
"[WARNING] doze counter 86, dozing for 3.67s",both hands are in the zone,2024-08-27 17:30:21.739440
"[WARNING] doze counter 87, dozing for 3.75s",both hands are in the zone,2024-08-27 17:30:21.816362
